site_code,location,river,year,month,temp_max,temp_min,temp_avg,x,y
BN1400,Baldwin Creek,Baldwin Creek,2000,May,14.35,9.38,11.545138888888891,-121.59255,45.564883
BN1400,Baldwin Creek,Baldwin Creek,2000,June,18.17,7.68,13.141291666666667,-121.59255,45.564883
BN1400,Baldwin Creek,Baldwin Creek,2000,July,18.82,10.63,14.398790322580648,-121.59255,45.564883
BN1400,Baldwin Creek,Baldwin Creek,2000,August,18.33,10.32,14.501303763440857,-121.59255,45.564883
BN1400,Baldwin Creek,Baldwin Creek,2000,September,17.36,6.75,12.864069444444445,-121.59255,45.564883
BN1400,Baldwin Creek,Baldwin Creek,2000,October,14.19,4.41,9.173588709677418,-121.59255,45.564883
BN1400,Baldwin Creek,Baldwin Creek,2000,November,9.53,-0.03,3.849472222222223,-121.59255,45.564883
BN1400,Baldwin Creek,Baldwin Creek,2000,December,4.72,-0.68,2.312266666666667,-121.59255,45.564883
BN1400,Baldwin Creek,Baldwin Creek,2001,January,4.4,0.76,2.9177822580645163,-121.59255,45.564883
BN1400,Baldwin Creek,Baldwin Creek,2001,February,7.06,1.24,3.8771450617283953,-121.59255,45.564883
BN1400,Baldwin Creek,Baldwin Creek,2001,March,10.44,2.36,6.534502688172044,-121.59255,45.564883
BN1400,Baldwin Creek,Baldwin Creek,2001,April,16.19,3.93,8.533299516908212,-121.59255,45.564883
BN1400,Baldwin Creek,Baldwin Creek,2001,May,18.26,6.57,11.73273611111111,-121.59255,45.564883
BN1400,Baldwin Creek,Baldwin Creek,2001,June,17.86,8.32,12.666347222222223,-121.59255,45.564883
BN1400,Baldwin Creek,Baldwin Creek,2001,July,18.34,11.11,14.681801075268815,-121.59255,45.564883
BN1400,Baldwin Creek,Baldwin Creek,2001,August,18.66,11.26,15.126559139784947,-121.59255,45.564883
BN1400,Baldwin Creek,Baldwin Creek,2001,September,16.58,8.63,13.757976190476189,-121.59255,45.564883
BN1400,Baldwin Creek,Baldwin Creek,2001,October,13.13,4.6,8.718001613,-121.59255,45.564883
BN1400,Baldwin Creek,Baldwin Creek,2001,November,10.18,0.49,6.303194444,-121.59255,45.564883
BN1400,Baldwin Creek,Baldwin Creek,2001,December,7.55,4.13,5.96877193,-121.59255,45.564883
BN1400,Baldwin Creek,Baldwin Creek,2004,June,NA,NA,13.9,-121.59255,45.564883
BN1400,Baldwin Creek,Baldwin Creek,2004,July,NA,NA,15.5,-121.59255,45.564883
BN1400,Baldwin Creek,Baldwin Creek,2004,August,NA,NA,14.6,-121.59255,45.564883
BN1400,Baldwin Creek,Baldwin Creek,2004,September,NA,NA,12.1,-121.59255,45.564883
LH1260,Lake Branch,Lake Branch,2004,June,NA,NA,9.7,-121.6984,45.544117
LH1260,Lake Branch,Lake Branch,2004,July,NA,NA,11.5,-121.6984,45.544117
LH1260,Lake Branch,Lake Branch,2004,August,NA,NA,11.6,-121.6984,45.544117
LH1260,Lake Branch,Lake Branch,2004,September,NA,NA,9.9,-121.6984,45.544117
MK1640,Middle Fork,Middle Fork,1994,January,4.3,1.9,3,-121.62595,45.5235
MK1640,Middle Fork,Middle Fork,1994,February,5.7,-0.1,3.3,-121.62595,45.5235
MK1640,Middle Fork,Middle Fork,1994,March,8.9,2.4,4.8,-121.62595,45.5235
MK1640,Middle Fork,Middle Fork,1994,April,11.3,4.6,7.1,-121.62595,45.5235
MK1640,Middle Fork,Middle Fork,1994,May,13.8,6,8.8,-121.62595,45.5235
MK1640,Middle Fork,Middle Fork,1994,June,14.7,5.6,9.7,-121.62595,45.5235
MK1640,Middle Fork,Middle Fork,1994,July,14.6,5.4,10.2,-121.62595,45.5235
MK1640,Middle Fork,Middle Fork,1994,August,14.1,7.3,10.4,-121.62595,45.5235
MK1640,Middle Fork,Middle Fork,1994,September,14,8,10.4,-121.62595,45.5235
